Mean,Median,Mode,Kurtosis,Skewness,Standard Deviation,Variance,Standard Error,Max,Min,Sum,Range,2nd Quartile,RMS,Count,Shape Factor,Impulse Factor,K Factor,Condition
0.000348701,0.005772265,0.032829754,0.615103826,0.102618471,0.251551676,0.063278246,0.00459345,1.0196465,-0.81978184,1.046102452,1.83942834,0.005772265,0.251551917,3000,1.310337003,5.31135104,0.246705027,Healthy
-0.001584246,-0.011304018,-0.060007501,0.596698233,0.238107954,0.238704343,0.056979763,0.004358852,0.90035301,-0.94015759,-4.752738139,1.8405106,-0.011304018,0.2387096,3000,1.297577372,5.110507554,0.253903816,Healthy
0.00080026,-0.009079291,-0.15669294,0.736224483,0.225967221,0.227446325,0.051731831,0.004153275,0.84816211,-0.7509957,2.400781172,1.59915781,-0.009079291,0.227447733,3000,1.315395015,4.905163025,0.268165402,Healthy
0.00304992,-0.002645621,-0.11207814,1.097156681,0.189198001,0.223908954,0.05013522,0.004088681,1.0141147,-0.78057855,9.149760597,1.79469325,-0.002645621,0.223929725,3000,1.312532487,5.944090236,0.220813015,Healthy
0.00027282,-0.00426907,-0.056880858,0.680373605,0.143513738,0.225102137,0.050670972,0.004110469,0.86030793,-1.0506724,0.818458742,1.91098033,-0.00426907,0.225102302,3000,1.307702259,6.103743305,0.214245946,Healthy
-0.000959599,-0.005351371,0.017918071,0.514262189,0.155674051,0.236902314,0.056122706,0.004325946,1.0246972,-0.82399076,-2.878796246,1.84868796,-0.005351371,0.236904258,3000,1.28834752,5.572572268,0.231194403,Healthy
-0.001519789,-0.004990603,0.042690706,0.544551554,0.203634277,0.233671206,0.054602232,0.004266944,0.87521964,-0.8370986,-4.559366659,1.71231824,-0.004990603,0.233676148,3000,1.291235343,4.836242563,0.266991435,Healthy
-0.002498669,-0.002765877,-0.070108965,0.599437184,0.065906186,0.210969307,0.044508048,0.003852397,0.85116851,-0.96529102,-7.496007147,1.81645953,-0.002765877,0.210984103,3000,1.297086488,5.934408905,0.218570461,Healthy
0.000238547,-0.006493798,-0.22127014,0.642909096,0.203863555,0.230671311,0.053209254,0.004212165,0.99631691,-0.84154809,0.715640222,1.837865,-0.006493798,0.230671435,3000,1.283281422,5.542753845,0.231524159,Healthy
-0.000587648,-0.007816609,-0.21742196,0.500747872,0.158732882,0.235681806,0.055545914,0.004303659,0.97743678,-0.91454315,-1.762945174,1.89197993,-0.007816609,0.235682539,3000,1.279008179,5.304379538,0.241123051,Healthy
0.000549167,-0.009079291,-0.15897779,0.402087314,0.274281668,0.217743634,0.04741229,0.003976099,0.87738425,-0.72718507,1.647500557,1.60456932,-0.009079291,0.217744326,3000,1.281699369,5.164510408,0.248174419,Healthy
0.000172807,-0.004750093,0.055678301,0.209104648,0.135114217,0.21116141,0.044589141,0.003855905,0.86319405,-0.72995096,0.518421558,1.59314501,-0.004750093,0.211161481,3000,1.266899581,5.178880996,0.244628054,Healthy
0.000600316,-0.003246899,0.056399837,0.713170496,0.144035308,0.217756145,0.047417739,0.003976328,0.87197274,-0.81136394,1.800946731,1.68333668,-0.003246899,0.217756972,3000,1.310864778,5.249146972,0.249729106,Healthy
0.000228766,-0.005351371,-0.13095826,0.616886119,0.168268888,0.226757566,0.051418994,0.004140698,1.1046672,-0.8433519,0.686298741,1.9480191,-0.005351371,0.226757682,3000,1.273224499,6.202609457,0.205272395,Healthy
0.001464191,-0.005231115,-0.18423145,0.672079321,0.161277737,0.218058276,0.047549412,0.003981845,0.97346836,-0.92560667,4.392572901,1.89907503,-0.005231115,0.218063192,3000,1.296627447,5.788348708,0.22400645,Healthy
0.000118291,-0.004389327,-0.29859444,0.304371234,0.164396887,0.215736016,0.046542029,0.003939439,0.7900787,-0.70890623,0.354873347,1.49898493,-0.004389327,0.215736049,3000,1.281914922,4.694689091,0.273056404,Healthy
-0.000270214,-0.003367155,-0.1516422,0.490383467,0.1721098,0.220351782,0.048554908,0.004023725,0.8360163,-0.75773001,-0.810642521,1.59374631,-0.003367155,0.220351947,3000,1.290750613,4.897113752,0.263573745,Healthy
0.000750916,0.001142427,-0.14671172,0.554867311,0.149152345,0.219578583,0.048214754,0.004009606,0.90347964,-0.76470482,2.252746894,1.66818446,0.001142427,0.219579867,3000,1.288643825,5.302232277,0.243037981,Healthy
